,Stock name,Date,Year,Month,Day,dayOfWeek,Close,Open,High,Low,Volume,Positive,Negative,Neutral,Total_Tweets
0,PAYPAL,2021-08-04,2021,8,4,Wednesday,275.5,274.0711,276.0931,270.67,6616877.0,29.0,12.0,27.0,2169.0
1,PAYPAL,2021-08-05,2021,8,5,Thursday,280.67,277.1,280.96,275.82,7354195.0,151.0,46.0,189.0,2806.0
2,PAYPAL,2021-08-06,2021,8,6,Friday,279.54,280.0,282.3699,276.87,6086327.0,88.0,37.0,79.0,2443.0
3,PAYPAL,2021-08-07,2021,8,7,Saturday,279.07666666666665,280.0733333333333,281.9466,277.06666666666666,5331883.333333333,44.0,11.0,33.0,2212.0
4,PAYPAL,2021-08-08,2021,8,8,Sunday,278.61333333333334,280.1466666666667,281.5233,277.2633333333333,4577439.666666667,56.0,8.0,27.0,2219.0
5,PAYPAL,2021-08-09,2021,8,9,Monday,278.15,280.22,281.1,277.46,3822996.0,69.0,10.0,65.0,2326.0
6,PAYPAL,2021-08-10,2021,8,10,Tuesday,274.37,278.94,280.49,272.5,6264118.0,84.0,26.0,101.0,2461.0
7,PAYPAL,2021-08-11,2021,8,11,Wednesday,276.41,277.442,278.235,273.13,5785928.0,60.0,27.0,69.0,2352.0
8,PAYPAL,2021-08-12,2021,8,12,Thursday,274.59,274.25,276.805,273.06,4513787.0,58.0,24.0,74.0,2353.0
9,PAYPAL,2021-08-13,2021,8,13,Friday,274.91,276.17,276.81,274.61,4097209.0,80.0,21.0,61.0,2366.0
10,PAYPAL,2021-08-14,2021,8,14,Saturday,276.03333333333336,275.3566666666667,277.60333333333335,274.26,4493403.0,34.0,6.0,14.0,2151.0
11,PAYPAL,2021-08-15,2021,8,15,Sunday,277.15666666666664,274.54333333333335,278.39666666666665,273.91,4889597.0,38.0,9.0,33.0,2204.0
12,PAYPAL,2021-08-16,2021,8,16,Monday,278.28,273.73,279.19,273.56,5285791.0,110.0,20.0,84.0,2473.0
13,PAYPAL,2021-08-17,2021,8,17,Tuesday,271.1,275.25,275.545,269.08,7966077.0,105.0,39.0,68.0,2470.0
14,PAYPAL,2021-08-18,2021,8,18,Wednesday,268.84,271.01,272.77,268.48,4830905.0,109.0,48.0,96.0,2553.0
15,PAYPAL,2021-08-19,2021,8,19,Thursday,270.58,267.19,272.0099,266.6033,5119910.0,56.0,19.0,53.0,2304.0
16,PAYPAL,2021-08-20,2021,8,20,Friday,272.96,269.54,273.935,269.54,4179531.0,75.0,24.0,46.0,2339.0
17,PAYPAL,2021-08-21,2021,8,21,Saturday,274.3,271.61,275.38666666666666,270.7,4622187.333333333,32.0,15.0,17.0,2178.0
