Year,Month,Day,StockName,Positive,Negative,Neutral,Total Tweets,Close,Volume,Open,High,Low,Day_of_week
2020,1,1,apple,10,2,8,20,75.0875,135647440,74.06,75.15,73.7975,Wednesday
2020,1,1,microsoft,9,0,11,20,160.62,22634550,158.78,160.73,158.33,Wednesday
2020,1,1,tesla,17,3,3,23,86.052,47791930,84.9,86.1391,84.342,Wednesday
2020,1,1,nvidia,1,0,0,1,59.9775,23767876,59.6875,59.9775,59.18,Wednesday
2020,1,1,paypal,1,0,1,2,110.75,7419283,109.47,111.21,109.275,Wednesday
2020,1,2,apple,42,11,31,84,75.0875,135647440,74.06,75.15,73.7975,Thursday
2020,1,2,microsoft,8,1,7,16,160.62,22634550,158.78,160.73,158.33,Thursday
2020,1,2,tesla,30,3,21,54,86.052,47791930,84.9,86.1391,84.342,Thursday
2020,1,2,nvidia,2,0,2,4,59.9775,23767876,59.6875,59.9775,59.18,Thursday
2020,1,2,paypal,0,0,2,2,110.75,7419283,109.47,111.21,109.275,Thursday
2020,1,3,apple,21,11,12,44,74.3575,146535520,74.2875,75.145,74.125,Friday
2020,1,3,microsoft,10,2,4,16,158.62,21121680,158.32,159.945,158.06,Friday
2020,1,3,tesla,34,15,41,90,88.602,88973500,88.1,90.8,87.384,Friday
2020,1,3,nvidia,2,0,1,3,59.0175,20577232,58.775,59.4575,58.525,Friday
2020,1,3,paypal,1,0,2,3,108.76,7099931,109.49,110.42,108.76,Friday
2020,1,4,apple,3,1,8,12,74.555,137216533.3,74.0075,75.09333333,73.8125,Saturday
2020,1,4,microsoft,3,1,1,5,158.7566667,21023353.33,157.9066667,159.6633333,157.5433333,Saturday
2020,1,4,tesla,16,6,24,46,89.17066667,76244833.33,88.098,90.63733333,87.58933333,Saturday
2020,1,4,nvidia,0,1,1,2,59.1,22481904,58.54333333,59.41083333,58.28916667,Saturday
2020,1,4,paypal,0,2,1,3,109.465,6933279,108.53,110.32,108.1,Saturday
2020,1,5,apple,4,1,9,14,74.7525,127897546.7,73.7275,75.04166667,73.5,Sunday
